Group,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Kendall_r,Kendall_p
All Data,29056318,0.10729756,0.0,0.08188485,0.0,0.06285432,0.0
1940,2057,,,,,,
1941,2387,0.05537861,0.00680398,0.0688213,0.00076647,0.05561396,0.00079741
1942,2575,0.03945591,0.04528728,0.04254575,0.0308587,0.03400061,0.03190395
1943,2737,0.04252376,0.02610287,0.04277565,0.02522968,0.03422551,0.02527029
1944,2746,0.03927615,0.03958846,0.04542592,0.01728602,0.03619232,0.01739611
1945,2665,0.06515515,0.00076393,0.06071945,0.0017128,0.04810506,0.00173693
1946,3676,0.05006182,0.00239643,0.04950435,0.00267974,0.03891467,0.00279743
1947,4866,0.05150728,0.00032509,0.06191885,1.544e-05,0.04857976,1.652e-05
1948,6462,0.04132801,0.00089057,0.04604565,0.00021332,0.03612954,0.00020957
1949,8392,0.03995603,0.00025103,0.04514254,3.52e-05,0.03512112,3.755e-05
1950,10707,0.04021479,3.149e-05,0.04243297,1.122e-05,0.0328537,1.221e-05
1951,12812,0.03601068,4.562e-05,0.03849146,1.312e-05,0.02979139,1.422e-05
1952,14589,0.05335412,0.0,0.04819162,1e-08,0.03718469,1e-08
1953,17772,0.03148295,2.695e-05,0.03117375,3.231e-05,0.02401619,3.564e-05
1954,19167,0.0360897,5.8e-07,0.03534795,9.8e-07,0.02722721,1.16e-06
1955,21355,0.04253472,0.0,0.04263614,0.0,0.03297362,0.0
1956,23629,0.04301492,0.0,0.04198652,0.0,0.03247021,0.0
1957,25708,0.04150258,0.0,0.03924356,0.0,0.03022284,0.0
1958,30098,0.05467663,0.0,0.04982282,0.0,0.03832334,0.0
1959,33182,0.0382315,0.0,0.02830352,2.5e-07,0.02174707,3.1e-07
1960,37441,0.04793277,0.0,0.04252867,0.0,0.03273711,0.0
1961,41771,0.05817836,0.0,0.05156493,0.0,0.03980526,0.0
1962,46647,0.04559251,0.0,0.03735845,0.0,0.02882486,0.0
1963,52509,0.04987571,0.0,0.04467351,0.0,0.03442216,0.0
1964,58799,0.05921287,0.0,0.04909798,0.0,0.03775557,0.0
1965,66636,0.06600056,0.0,0.05551522,0.0,0.04278556,0.0
1966,73483,0.06146898,0.0,0.05187464,0.0,0.03987136,0.0
1967,83167,0.06281043,0.0,0.05145178,0.0,0.03963081,0.0
1968,90782,0.06726152,0.0,0.05501928,0.0,0.04235337,0.0
1969,99928,0.08153065,0.0,0.06681835,0.0,0.05130317,0.0
1970,116945,0.11995771,0.0,0.09361649,0.0,0.07146376,0.0
1971,114420,0.06774695,0.0,0.05618096,0.0,0.04325469,0.0
1972,124702,0.05813963,0.0,0.04431951,0.0,0.03412134,0.0
1973,131221,0.06406776,0.0,0.05077511,0.0,0.03906829,0.0
1974,135203,0.06642245,0.0,0.05266174,0.0,0.04060501,0.0
1975,142630,0.0645773,0.0,0.05194559,0.0,0.03998039,0.0
1976,148653,0.07092625,0.0,0.05516552,0.0,0.04247234,0.0
1977,157222,0.07173198,0.0,0.05402137,0.0,0.0415654,0.0
1978,165364,0.06857464,0.0,0.05095461,0.0,0.0392227,0.0
1979,173559,0.07149337,0.0,0.05485357,0.0,0.04224981,0.0
1980,184266,0.07225445,0.0,0.05488948,0.0,0.04223534,0.0
1981,194881,0.07837067,0.0,0.05857424,0.0,0.0450256,0.0
1982,202525,0.07268522,0.0,0.05234813,0.0,0.04032688,0.0
1983,213462,0.07458587,0.0,0.0543765,0.0,0.04183059,0.0
1984,224011,0.07512033,0.0,0.05293497,0.0,0.04069941,0.0
1985,233665,0.07021374,0.0,0.05039098,0.0,0.03872968,0.0
1986,245704,0.0767801,0.0,0.05536174,0.0,0.04256514,0.0
1987,254773,0.06962098,0.0,0.04856503,0.0,0.03727194,0.0
1988,269006,0.07296847,0.0,0.0517216,0.0,0.03967609,0.0
1989,282237,0.07273532,0.0,0.05024565,0.0,0.03851193,0.0
1990,297838,0.07182953,0.0,0.05083641,0.0,0.03897922,0.0
1991,311926,0.07190162,0.0,0.0498473,0.0,0.03819504,0.0
1992,327231,0.0731172,0.0,0.05183432,0.0,0.03967041,0.0
1993,329208,0.07282128,0.0,0.04824115,0.0,0.03689623,0.0
1994,341820,0.07056831,0.0,0.04625517,0.0,0.0353397,0.0
1995,356760,0.07540006,0.0,0.04891948,0.0,0.03738454,0.0
1996,379973,0.07370411,0.0,0.049008,0.0,0.03743304,0.0
1997,396276,0.07839919,0.0,0.05464681,0.0,0.04171374,0.0
1998,414365,0.0730761,0.0,0.04888053,0.0,0.03735399,0.0
1999,436694,0.08130556,0.0,0.0568066,0.0,0.04341135,0.0
2000,463091,0.08046968,0.0,0.05461832,0.0,0.04172497,0.0
2001,480174,0.08761655,0.0,0.05980452,0.0,0.04568706,0.0
2002,673356,0.08431751,0.0,0.06384085,0.0,0.04882416,0.0
2003,636818,0.08275066,0.0,0.05686813,0.0,0.04353787,0.0
2004,633120,0.0866482,0.0,0.05855465,0.0,0.04471702,0.0
2005,696645,0.09125962,0.0,0.06144451,0.0,0.04698718,0.0
2006,755762,0.09352438,0.0,0.06422655,0.0,0.04913959,0.0
2007,769444,0.09627018,0.0,0.06671627,0.0,0.05110728,0.0
2008,824775,0.10237101,0.0,0.07074215,0.0,0.05417033,0.0
2009,876437,0.10484829,0.0,0.07387728,0.0,0.0565969,0.0
2010,943639,0.11504894,0.0,0.08514514,0.0,0.06517705,0.0
2011,1025042,0.123164,0.0,0.09288085,0.0,0.07098911,0.0
2012,1085946,0.127013,0.0,0.09611067,0.0,0.07353081,0.0
2013,1158839,0.13092891,0.0,0.10171627,0.0,0.0778399,0.0
2014,1231955,0.13205989,0.0,0.10421597,0.0,0.07978115,0.0
2015,1251527,0.13546515,0.0,0.10876955,0.0,0.08334194,0.0
2016,1286841,0.13616405,0.0,0.10786436,0.0,0.08279633,0.0
2017,1356343,0.14067981,0.0,0.11270729,0.0,0.08648043,0.0
2018,1450359,0.1437092,0.0,0.11732029,0.0,0.09000555,0.0
2019,1551474,0.14959402,0.0,0.12376878,0.0,0.09492134,0.0
2020,1699446,0.14087792,0.0,0.11664068,0.0,0.08951306,0.0
