decade,team_size_bucket,count
1941-1950,1,36537
1941-1950,2,8570
1941-1950,3,1711
1941-1950,4,331
1941-1950,5,49
1941-1950,6,8
1941-1950,7,4
1941-1950,8+,3
1951-1960,1,147335
1951-1960,2,62935
1951-1960,3,18762
1951-1960,4,4942
1951-1960,5,1154
1951-1960,6,417
1951-1960,7,122
1951-1960,8+,92
1961-1970,1,353539
1961-1970,2,238726
1961-1970,3,94694
1961-1970,4,30007
1961-1970,5,8983
1961-1970,6,2899
1961-1970,7,1095
1961-1970,8+,748
1971-1980,1,553270
1971-1980,2,496783
1971-1980,3,257244
1971-1980,4,106497
1971-1980,5,38577
1971-1980,6,14670
1971-1980,7,5503
1971-1980,8+,3676
1981-1990,1,727708
1981-1990,2,734691
1981-1990,3,470471
1981-1990,4,253857
1981-1990,5,121142
1981-1990,6,58160
1981-1990,7,26353
1981-1990,8+,18623
1991-2000,1,925275
1991-2000,2,1000900
1991-2000,3,742296
1991-2000,4,472071
1991-2000,5,277104
1991-2000,6,159429
1991-2000,7,82875
1991-2000,8+,62619
2001-2010,1,1482614
2001-2010,2,1756288
2001-2010,3,1484600
2001-2010,4,1021067
2001-2010,5,630649
2001-2010,6,395535
2001-2010,7,217728
2001-2010,8+,186866
2011-2020,1,2181442
2011-2020,2,2770846
2011-2020,3,2681199
2011-2020,4,1990057
2011-2020,5,1328278
2011-2020,6,875888
2011-2020,7,501202
2011-2020,8+,452773
