decade,team_size_bucket,first_time_author_ratio,count
1941-1950,1,0.0,17786
1941-1950,1,1.0,18751
1941-1950,2,0.0,2120
1941-1950,2,0.5,3693
1941-1950,2,1.0,2757
1941-1950,3,0.0,254
1941-1950,3,0.3333333333333333,470
1941-1950,3,0.6666666666666666,559
1941-1950,3,1.0,428
1941-1950,4,0.0,34
1941-1950,4,0.25,53
1941-1950,4,0.5,94
1941-1950,4,0.75,90
1941-1950,4,1.0,60
1941-1950,5,0.0,5
1941-1950,5,0.2,4
1941-1950,5,0.4,5
1941-1950,5,0.6,12
1941-1950,5,0.8,13
1941-1950,5,1.0,10
1941-1950,6,0.1666666666666666,1
1941-1950,6,0.3333333333333333,1
1941-1950,6,0.6666666666666666,1
1941-1950,6,0.8333333333333333,1
1941-1950,6,1.0,4
1941-1950,7,0.7142857142857143,1
1941-1950,7,1.0,3
1941-1950,8+,0.3333333333333333,1
1941-1950,8+,0.4545454545454545,1
1941-1950,8+,0.8888888888888888,1
1951-1960,1,0.0,106474
1951-1960,1,1.0,40861
1951-1960,2,0.0,30854
1951-1960,2,0.5,25722
1951-1960,2,1.0,6359
1951-1960,3,0.0,6528
1951-1960,3,0.3333333333333333,7044
1951-1960,3,0.6666666666666666,4042
1951-1960,3,1.0,1148
1951-1960,4,0.0,1318
1951-1960,4,0.25,1559
1951-1960,4,0.5,1223
1951-1960,4,0.75,635
1951-1960,4,1.0,207
1951-1960,5,0.0,238
1951-1960,5,0.2,320
1951-1960,5,0.4,245
1951-1960,5,0.6,206
1951-1960,5,0.8,106
1951-1960,5,1.0,39
1951-1960,6,0.0,60
1951-1960,6,0.1666666666666666,84
1951-1960,6,0.3333333333333333,77
1951-1960,6,0.5,76
1951-1960,6,0.6666666666666666,55
1951-1960,6,0.8333333333333333,41
1951-1960,6,1.0,24
1951-1960,7,0.0,16
1951-1960,7,0.1428571428571428,20
1951-1960,7,0.2857142857142857,20
1951-1960,7,0.4285714285714285,21
1951-1960,7,0.5714285714285714,18
1951-1960,7,0.7142857142857143,16
1951-1960,7,0.8571428571428571,7
1951-1960,7,1.0,4
1951-1960,8+,0.0,6
1951-1960,8+,0.0769230769230769,1
1951-1960,8+,0.0833333333333333,1
1951-1960,8+,0.1111111111111111,1
1951-1960,8+,0.125,9
1951-1960,8+,0.2,2
1951-1960,8+,0.2222222222222222,4
1951-1960,8+,0.25,4
1951-1960,8+,0.3,2
1951-1960,8+,0.3333333333333333,2
1951-1960,8+,0.4,2
1951-1960,8+,0.4166666666666666,1
1951-1960,8+,0.4444444444444444,1
1951-1960,8+,0.5,6
1951-1960,8+,0.5454545454545454,1
1951-1960,8+,0.5555555555555555,5
1951-1960,8+,0.6,3
1951-1960,8+,0.625,11
1951-1960,8+,0.6363636363636364,2
1951-1960,8+,0.6666666666666666,3
1951-1960,8+,0.7,1
1951-1960,8+,0.75,6
1951-1960,8+,0.7777777777777777,2
1951-1960,8+,0.8,1
1951-1960,8+,0.875,1
1951-1960,8+,0.909090909090909,1
1951-1960,8+,1.0,7
1961-1970,1,0.0,279195
1961-1970,1,1.0,74344
1961-1970,2,0.0,138874
1961-1970,2,0.5,85840
1961-1970,2,1.0,14012
1961-1970,3,0.0,41840
1961-1970,3,0.3333333333333333,34792
1961-1970,3,0.6666666666666666,13843
1961-1970,3,1.0,4219
1961-1970,4,0.0,10366
1961-1970,4,0.25,9827
1961-1970,4,0.5,5681
1961-1970,4,0.75,2333
1961-1970,4,1.0,1605
1961-1970,5,0.0,2559
1961-1970,5,0.2,2390
1961-1970,5,0.4,1812
1961-1970,5,0.6,932
1961-1970,5,0.8,537
1961-1970,5,1.0,753
1961-1970,6,0.0,640
1961-1970,6,0.1666666666666666,704
1961-1970,6,0.3333333333333333,521
1961-1970,6,0.5,348
1961-1970,6,0.6666666666666666,189
1961-1970,6,0.8333333333333333,154
1961-1970,6,1.0,343
1961-1970,7,0.0,229
1961-1970,7,0.1428571428571428,232
1961-1970,7,0.2857142857142857,195
1961-1970,7,0.4285714285714285,105
1961-1970,7,0.5714285714285714,83
1961-1970,7,0.7142857142857143,39
1961-1970,7,0.8571428571428571,54
1961-1970,7,1.0,158
1961-1970,8+,0.0,162
1961-1970,8+,0.0666666666666666,1
1961-1970,8+,0.0714285714285714,6
1961-1970,8+,0.0769230769230769,6
1961-1970,8+,0.0833333333333333,3
1961-1970,8+,0.0909090909090909,10
1961-1970,8+,0.0952380952380952,1
1961-1970,8+,0.1,24
1961-1970,8+,0.1111111111111111,27
1961-1970,8+,0.1176470588235294,1
1961-1970,8+,0.125,91
1961-1970,8+,0.1333333333333333,2
1961-1970,8+,0.1428571428571428,1
1961-1970,8+,0.1538461538461538,3
1961-1970,8+,0.1578947368421052,1
1961-1970,8+,0.1666666666666666,4
1961-1970,8+,0.1818181818181818,11
1961-1970,8+,0.2,19
1961-1970,8+,0.2142857142857142,1
1961-1970,8+,0.2222222222222222,34
1961-1970,8+,0.2307692307692307,3
1961-1970,8+,0.25,78
1961-1970,8+,0.2666666666666666,1
1961-1970,8+,0.2727272727272727,5
1961-1970,8+,0.2941176470588235,1
1961-1970,8+,0.3,11
1961-1970,8+,0.3076923076923077,4
1961-1970,8+,0.3333333333333333,18
1961-1970,8+,0.3571428571428571,1
1961-1970,8+,0.3636363636363636,6
1961-1970,8+,0.375,52
1961-1970,8+,0.3846153846153846,1
1961-1970,8+,0.4,11
1961-1970,8+,0.4102564102564102,1
1961-1970,8+,0.4166666666666666,2
1961-1970,8+,0.4285714285714285,3
1961-1970,8+,0.4375,1
1961-1970,8+,0.4444444444444444,14
1961-1970,8+,0.4545454545454545,5
1961-1970,8+,0.4615384615384615,1
1961-1970,8+,0.4666666666666666,1
1961-1970,8+,0.5,45
1961-1970,8+,0.5454545454545454,2
1961-1970,8+,0.5555555555555555,10
1961-1970,8+,0.5652173913043477,1
1961-1970,8+,0.5714285714285714,1
1961-1970,8+,0.6,2
1961-1970,8+,0.611111111111111,1
1961-1970,8+,0.6153846153846154,1
1961-1970,8+,0.625,22
1961-1970,8+,0.6363636363636364,3
1961-1970,8+,0.6666666666666666,13
1961-1970,8+,0.6818181818181817,1
1961-1970,8+,0.7272727272727272,1
1961-1970,8+,0.75,13
1961-1970,8+,0.7692307692307692,1
1961-1970,8+,0.7777777777777777,3
1961-1970,8+,0.7857142857142857,2
1961-1970,8+,0.8,1
1961-1970,8+,0.8181818181818182,3
1961-1970,8+,0.8461538461538461,1
1961-1970,8+,0.8571428571428571,1
1961-1970,8+,0.875,41
1961-1970,8+,0.8888888888888888,9
1961-1970,8+,0.9,3
1961-1970,8+,0.9166666666666666,2
1961-1970,8+,0.9230769230769232,2
1961-1970,8+,0.9285714285714286,2
1961-1970,8+,0.9375,1
1961-1970,8+,0.9523809523809524,1
1961-1970,8+,1.0,102
1971-1980,1,0.0,469123
1971-1980,1,1.0,84147
1971-1980,2,0.0,333905
1971-1980,2,0.5,147952
1971-1980,2,1.0,14926
1971-1980,3,0.0,141131
1971-1980,3,0.3333333333333333,88222
1971-1980,3,0.6666666666666666,24492
1971-1980,3,1.0,3399
1971-1980,4,0.0,49173
1971-1980,4,0.25,36260
1971-1980,4,0.5,15740
1971-1980,4,0.75,4454
1971-1980,4,1.0,870
1971-1980,5,0.0,15513
1971-1980,5,0.2,12479
1971-1980,5,0.4,6676
1971-1980,5,0.6,2752
1971-1980,5,0.8,902
1971-1980,5,1.0,255
1971-1980,6,0.0,5354
1971-1980,6,0.1666666666666666,4602
1971-1980,6,0.3333333333333333,2561
1971-1980,6,0.5,1290
1971-1980,6,0.6666666666666666,560
1971-1980,6,0.8333333333333333,220
1971-1980,6,1.0,83
1971-1980,7,0.0,1738
1971-1980,7,0.1428571428571428,1648
1971-1980,7,0.2857142857142857,1029
1971-1980,7,0.4285714285714285,604
1971-1980,7,0.5714285714285714,269
1971-1980,7,0.7142857142857143,118
1971-1980,7,0.8571428571428571,60
1971-1980,7,1.0,37
1971-1980,8+,0.0,1273
1971-1980,8+,0.037037037037037,1
1971-1980,8+,0.04,1
1971-1980,8+,0.0416666666666666,1
1971-1980,8+,0.0476190476190476,2
1971-1980,8+,0.05,1
1971-1980,8+,0.0555555555555555,1
1971-1980,8+,0.0588235294117647,3
1971-1980,8+,0.0625,6
1971-1980,8+,0.0666666666666666,8
1971-1980,8+,0.0714285714285714,12
1971-1980,8+,0.0769230769230769,21
1971-1980,8+,0.0833333333333333,34
1971-1980,8+,0.0909090909090909,51
1971-1980,8+,0.0952380952380952,2
1971-1980,8+,0.1,137
1971-1980,8+,0.1111111111111111,280
1971-1980,8+,0.1176470588235294,1
1971-1980,8+,0.125,654
1971-1980,8+,0.1333333333333333,7
1971-1980,8+,0.1363636363636363,1
1971-1980,8+,0.1428571428571428,7
1971-1980,8+,0.1538461538461538,17
1971-1980,8+,0.1578947368421052,2
1971-1980,8+,0.1666666666666666,31
1971-1980,8+,0.1739130434782608,1
1971-1980,8+,0.1764705882352941,3
1971-1980,8+,0.1818181818181818,44
1971-1980,8+,0.1851851851851851,1
1971-1980,8+,0.1875,3
1971-1980,8+,0.2,108
1971-1980,8+,0.2105263157894736,3
1971-1980,8+,0.2142857142857142,9
1971-1980,8+,0.2222222222222222,184
1971-1980,8+,0.2307692307692307,7
1971-1980,8+,0.24,1
1971-1980,8+,0.25,473
1971-1980,8+,0.2666666666666666,6
1971-1980,8+,0.2727272727272727,32
1971-1980,8+,0.2857142857142857,6
1971-1980,8+,0.2941176470588235,1
1971-1980,8+,0.3,62
1971-1980,8+,0.3043478260869565,1
1971-1980,8+,0.3076923076923077,12
1971-1980,8+,0.3125,5
1971-1980,8+,0.3333333333333333,148
1971-1980,8+,0.3571428571428571,5
1971-1980,8+,0.3636363636363636,21
1971-1980,8+,0.3684210526315789,1
1971-1980,8+,0.375,277
1971-1980,8+,0.3846153846153846,6
1971-1980,8+,0.4,48
1971-1980,8+,0.4166666666666666,8
1971-1980,8+,0.4210526315789473,1
1971-1980,8+,0.4285714285714285,1
1971-1980,8+,0.4444444444444444,82
1971-1980,8+,0.4545454545454545,11
1971-1980,8+,0.4615384615384615,6
1971-1980,8+,0.4666666666666666,3
1971-1980,8+,0.5,183
1971-1980,8+,0.5294117647058822,1
1971-1980,8+,0.5333333333333333,1
1971-1980,8+,0.5384615384615384,2
1971-1980,8+,0.5454545454545454,13
1971-1980,8+,0.5555555555555555,37
1971-1980,8+,0.5714285714285714,1
1971-1980,8+,0.5769230769230768,1
1971-1980,8+,0.5833333333333333,3
1971-1980,8+,0.6,15
1971-1980,8+,0.6153846153846154,3
1971-1980,8+,0.625,78
1971-1980,8+,0.6363636363636364,5
1971-1980,8+,0.6428571428571429,3
1971-1980,8+,0.6666666666666666,24
1971-1980,8+,0.6923076923076922,1
1971-1980,8+,0.7,15
1971-1980,8+,0.7142857142857143,1
1971-1980,8+,0.7222222222222222,1
1971-1980,8+,0.7272727272727272,3
1971-1980,8+,0.7333333333333332,1
1971-1980,8+,0.75,41
1971-1980,8+,0.7692307692307692,1
1971-1980,8+,0.7777777777777777,13
1971-1980,8+,0.7857142857142857,1
1971-1980,8+,0.8,10
1971-1980,8+,0.8125,1
1971-1980,8+,0.8181818181818182,3
1971-1980,8+,0.8333333333333333,1
1971-1980,8+,0.8461538461538461,1
1971-1980,8+,0.875,36
1971-1980,8+,0.8823529411764705,1
1971-1980,8+,0.8888888888888888,8
1971-1980,8+,0.9,2
1971-1980,8+,0.909090909090909,4
1971-1980,8+,0.9166666666666666,2
1971-1980,8+,0.9230769230769232,3
1971-1980,8+,0.9333333333333332,1
1971-1980,8+,0.9583333333333331,1
1971-1980,8+,1.0,40
1981-1990,1,0.0,641343
1981-1990,1,1.0,86365
1981-1990,2,0.0,531891
1981-1990,2,0.5,185191
1981-1990,2,1.0,17609
1981-1990,3,0.0,288011
1981-1990,3,0.3333333333333333,143079
1981-1990,3,0.6666666666666666,34252
1981-1990,3,1.0,5129
1981-1990,4,0.0,134922
1981-1990,4,0.25,81342
1981-1990,4,0.5,28641
1981-1990,4,0.75,7289
1981-1990,4,1.0,1663
1981-1990,5,0.0,57243
1981-1990,5,0.2,38670
1981-1990,5,0.4,16904
1981-1990,5,0.6,5904
1981-1990,5,0.8,1850
1981-1990,5,1.0,571
1981-1990,6,0.0,24622
1981-1990,6,0.1666666666666666,18420
1981-1990,6,0.3333333333333333,9173
1981-1990,6,0.5,3753
1981-1990,6,0.6666666666666666,1396
1981-1990,6,0.8333333333333333,553
1981-1990,6,1.0,243
1981-1990,7,0.0,10326
1981-1990,7,0.1428571428571428,7922
1981-1990,7,0.2857142857142857,4508
1981-1990,7,0.4285714285714285,2022
1981-1990,7,0.5714285714285714,895
1981-1990,7,0.7142857142857143,395
1981-1990,7,0.8571428571428571,173
1981-1990,7,1.0,112
1981-1990,8+,0.0,8380
1981-1990,8+,0.032258064516129,1
1981-1990,8+,0.0384615384615384,1
1981-1990,8+,0.04,2
1981-1990,8+,0.0434782608695652,1
1981-1990,8+,0.0476190476190476,1
1981-1990,8+,0.05,6
1981-1990,8+,0.0526315789473684,8
1981-1990,8+,0.0555555555555555,11
1981-1990,8+,0.0588235294117647,15
1981-1990,8+,0.0625,27
1981-1990,8+,0.064516129032258,1
1981-1990,8+,0.0666666666666666,42
1981-1990,8+,0.0714285714285714,81
1981-1990,8+,0.0769230769230769,101
1981-1990,8+,0.08,1
1981-1990,8+,0.0833333333333333,197
1981-1990,8+,0.0869565217391304,3
1981-1990,8+,0.0909090909090909,339
1981-1990,8+,0.0952380952380952,1
1981-1990,8+,0.1,1022
1981-1990,8+,0.1052631578947368,5
1981-1990,8+,0.1071428571428571,1
1981-1990,8+,0.1111111111111111,1703
1981-1990,8+,0.1176470588235294,6
1981-1990,8+,0.12,2
1981-1990,8+,0.125,3775
1981-1990,8+,0.1304347826086956,1
1981-1990,8+,0.1333333333333333,34
1981-1990,8+,0.1363636363636363,3
1981-1990,8+,0.1388888888888889,1
1981-1990,8+,0.1428571428571428,39
1981-1990,8+,0.15,3
1981-1990,8+,0.1538461538461538,74
1981-1990,8+,0.1578947368421052,2
1981-1990,8+,0.16,1
1981-1990,8+,0.1666666666666666,139
1981-1990,8+,0.1724137931034482,1
1981-1990,8+,0.1739130434782608,1
1981-1990,8+,0.1764705882352941,8
1981-1990,8+,0.1785714285714285,3
1981-1990,8+,0.1818181818181818,238
1981-1990,8+,0.1851851851851851,1
1981-1990,8+,0.1875,16
1981-1990,8+,0.1904761904761904,1
1981-1990,8+,0.1923076923076923,1
1981-1990,8+,0.2,671
1981-1990,8+,0.2105263157894736,3
1981-1990,8+,0.2142857142857142,32
1981-1990,8+,0.217391304347826,1
1981-1990,8+,0.2222222222222222,1039
1981-1990,8+,0.2272727272727272,1
1981-1990,8+,0.2307692307692307,58
1981-1990,8+,0.2352941176470588,5
1981-1990,8+,0.238095238095238,1
1981-1990,8+,0.2413793103448276,1
1981-1990,8+,0.25,2386
1981-1990,8+,0.2608695652173913,1
1981-1990,8+,0.263157894736842,3
1981-1990,8+,0.2666666666666666,21
1981-1990,8+,0.2727272727272727,147
1981-1990,8+,0.2777777777777777,6
1981-1990,8+,0.28,1
1981-1990,8+,0.2857142857142857,24
1981-1990,8+,0.2916666666666666,1
1981-1990,8+,0.2941176470588235,6
1981-1990,8+,0.3,378
1981-1990,8+,0.3076923076923077,25
1981-1990,8+,0.3125,5
1981-1990,8+,0.3142857142857142,1
1981-1990,8+,0.3157894736842105,2
1981-1990,8+,0.3333333333333333,638
1981-1990,8+,0.3461538461538461,1
1981-1990,8+,0.3478260869565217,1
1981-1990,8+,0.35,2
1981-1990,8+,0.3529411764705882,1
1981-1990,8+,0.3571428571428571,16
1981-1990,8+,0.36,1
1981-1990,8+,0.3636363636363636,105
1981-1990,8+,0.3684210526315789,1
1981-1990,8+,0.375,1156
1981-1990,8+,0.3846153846153846,14
1981-1990,8+,0.3888888888888889,2
1981-1990,8+,0.391304347826087,2
1981-1990,8+,0.3939393939393939,1
1981-1990,8+,0.4,214
1981-1990,8+,0.4117647058823529,1
1981-1990,8+,0.4166666666666666,25
1981-1990,8+,0.4210526315789473,2
1981-1990,8+,0.4285714285714285,10
1981-1990,8+,0.4375,2
1981-1990,8+,0.4444444444444444,331
1981-1990,8+,0.4545454545454545,56
1981-1990,8+,0.4615384615384615,18
1981-1990,8+,0.4666666666666666,6
1981-1990,8+,0.4705882352941176,3
1981-1990,8+,0.5,687
1981-1990,8+,0.5128205128205127,1
1981-1990,8+,0.5151515151515151,1
1981-1990,8+,0.5217391304347825,1
1981-1990,8+,0.5263157894736841,1
1981-1990,8+,0.5294117647058822,1
1981-1990,8+,0.5333333333333333,6
1981-1990,8+,0.5384615384615384,6
1981-1990,8+,0.5428571428571428,1
1981-1990,8+,0.5454545454545454,39
1981-1990,8+,0.5555555555555555,137
1981-1990,8+,0.5625,1
1981-1990,8+,0.5714285714285714,5
1981-1990,8+,0.5833333333333333,17
1981-1990,8+,0.588235294117647,1
1981-1990,8+,0.6,78
1981-1990,8+,0.6153846153846154,8
1981-1990,8+,0.625,268
1981-1990,8+,0.6296296296296297,1
1981-1990,8+,0.6363636363636364,21
1981-1990,8+,0.6428571428571429,3
1981-1990,8+,0.6451612903225806,1
1981-1990,8+,0.6470588235294118,1
1981-1990,8+,0.6666666666666666,114
1981-1990,8+,0.6923076923076922,4
1981-1990,8+,0.7,48
