Group,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Kendall_r,Kendall_p
All Data,29054261,0.10723216,0.0,0.08183112,0.0,0.06281262,0.0
Accounting,49588,0.13515634,0.0,0.12957288,0.0,0.10067966,0.0
Actuarial science,201,0.06515049,0.35815645,0.05870089,0.40781072,0.04657631,0.41110401
Advertising,86893,0.12200872,0.0,0.11171575,0.0,0.08708481,0.0
Aesthetics,218918,0.07232356,0.0,0.06803852,0.0,0.05392325,0.0
Agricultural science,267,0.03317567,0.58940387,0.00830594,0.89254414,0.00515913,0.91173178
Agroforestry,660,0.17096953,1.003e-05,0.14575295,0.00017166,0.11522582,0.00011216
Agronomy,3729,0.13320786,0.0,0.11495314,0.0,0.0888769,0.0
Algorithm,788088,0.11273531,0.0,0.10448276,0.0,0.08167979,0.0
Anatomy,649661,0.0699692,0.0,0.04430531,0.0,0.03389057,0.0
Ancient history,2473,0.06032476,0.00268986,0.02563748,0.2024869,0.02048812,0.19611608
Andrology,13899,0.08860481,0.0,0.05610551,0.0,0.04254382,0.0
Anesthesia,7693,0.06690929,0.0,0.03236592,0.00452425,0.0241683,0.00459061
Animal science,123130,0.111989,0.0,0.09450939,0.0,0.07191395,0.0
Applied mathematics,1125,0.0614097,0.03945611,0.03982337,0.18195453,0.03143224,0.18422271
Archaeology,48455,0.09324002,0.0,0.06297202,0.0,0.04885404,0.0
Art,335939,0.05386234,0.0,0.03055732,0.0,0.02406599,0.0
Art history,431,0.0337945,0.48408062,-0.02359114,0.62525913,-0.01976621,0.60369305
Artificial intelligence,163153,0.12360241,0.0,0.1161469,0.0,0.08971803,0.0
Audiology,1368,0.08864819,0.00102982,0.04864095,0.07210132,0.03682262,0.07144811
Biochemistry,69158,0.06993644,0.0,0.0352319,0.0,0.02698478,0.0
Bioinformatics,432,-0.02830519,0.55738815,-0.05598558,0.24556962,-0.04378071,0.24544749
Biological system,658,0.11237186,0.00389957,0.05905424,0.13021081,0.04592351,0.12726912
Biology,21364,0.0844237,0.0,0.07034537,0.0,0.05459344,0.0
Biomedical engineering,19534,0.07487876,0.0,0.04615419,0.0,0.03453646,0.0
Biophysics,186461,0.04522577,0.0,0.03114486,0.0,0.02400446,0.0
Biotechnology,57865,0.09921211,0.0,0.07027844,0.0,0.05318149,0.0
Botany,34547,0.07823412,0.0,0.06093879,0.0,0.04760369,0.0
Business,182674,0.10526238,0.0,0.1041379,0.0,0.0810359,0.0
Cancer research,21425,0.01927456,0.00478193,-0.01839371,0.00709378,-0.0139827,0.00670826
Cardiology,5615,0.05897781,9.77e-06,0.03547035,0.00785697,0.02669484,0.00803342
Chemical physics,4049,0.07700154,9.3e-07,0.05153712,0.001036,0.04024889,0.00102934
Chemistry,523843,0.09893034,0.0,0.07457315,0.0,0.05665718,0.0
Classics,136,-0.02306484,0.78982898,-0.01136637,0.89551089,-0.01034285,0.88271731
Clinical psychology,85,0.1735609,0.1121639,0.1531695,0.16165784,0.11840142,0.15512736
Combinatorics,399656,0.09775846,0.0,0.09609422,0.0,0.07604077,0.0
Composite material,248646,0.09693569,0.0,0.08210637,0.0,0.06253732,0.0
Computational biology,2074,0.02516847,0.25192243,-0.01838704,0.40262986,-0.01530038,0.37399829
Computational chemistry,47468,0.05477131,0.0,0.04663583,0.0,0.03625579,0.0
Computer architecture,13263,0.0819155,0.0,0.07458103,0.0,0.05677721,0.0
Computer engineering,10967,0.09889774,0.0,0.08632469,0.0,0.06668082,0.0
Computer graphics (images),35291,0.11557,0.0,0.10406928,0.0,0.08001231,0.0
Computer network,21683,0.12038197,0.0,0.11973133,0.0,0.09145309,0.0
Computer science,69204,0.05243135,0.0,0.06272491,0.0,0.04796363,0.0
Computer security,4744,0.14561872,0.0,0.13703272,0.0,0.10434966,0.0
Computer vision,829,0.13285528,0.00012482,0.11836569,0.00063806,0.09030369,0.00064674
Construction engineering,16908,0.07747148,0.0,0.07080044,0.0,0.05394192,0.0
Data mining,67412,0.11979145,0.0,0.11729432,0.0,0.09044268,0.0
Data science,3201,0.0941527,9e-08,0.07865563,8.38e-06,0.06127816,7.66e-06
Dentistry,17811,0.06742196,0.0,0.04007114,9e-08,0.03006899,9e-08
Dermatology,28987,0.05140106,0.0,0.02803225,1.81e-06,0.0210069,1.88e-06
Developmental psychology,171967,0.10886272,0.0,0.07740278,0.0,0.05931699,0.0
Discrete mathematics,52334,0.0859623,0.0,0.07491526,0.0,0.05972522,0.0
Distributed computing,71477,0.08939004,0.0,0.08795618,0.0,0.06802996,0.0
Ecology,261207,0.08928526,0.0,0.06228766,0.0,0.0482098,0.0
Econometrics,10354,0.08974342,0.0,0.08436389,0.0,0.06698501,0.0
Economic history,34,0.14179959,0.42373741,0.13969007,0.43073529,0.11635251,0.42228788
Economic policy,26921,0.07886257,0.0,0.07097334,0.0,0.05506913,0.0
Economics,39161,0.09067324,0.0,0.07825942,0.0,0.06109912,0.0
Economy,34738,0.09946716,0.0,0.09571656,0.0,0.07523294,0.0
Electrical engineering,850196,0.11070493,0.0,0.10208205,0.0,0.07807488,0.0
Embedded system,13429,0.17456979,0.0,0.17382429,0.0,0.13197201,0.0
Emergency medicine,1318,0.05988413,0.0297098,0.04430258,0.10791492,0.03303046,0.10504819
Endocrinology,200002,0.08589946,0.0,0.06226813,0.0,0.04726461,0.0
Engineering,1273679,0.114974,0.0,0.09419677,0.0,0.07194598,0.0
Engineering management,54706,0.06334732,0.0,0.06474032,0.0,0.04966904,0.0
Environmental chemistry,352374,0.12702072,0.0,0.10824112,0.0,0.0827908,0.0
Environmental economics,4038,0.10789631,0.0,0.10846146,0.0,0.08472304,0.0
Environmental resource management,100568,0.13546042,0.0,0.12432053,0.0,0.09608744,0.0
Environmental science,11185,0.07024083,0.0,0.07525753,0.0,0.05721652,0.0
Epistemology,811938,0.09934809,0.0,0.09286353,0.0,0.07297772,0.0
Ethnology,340,0.11032257,0.04205599,0.08665729,0.11071253,0.06683863,0.11100549
Evolutionary biology,1752,0.06166563,0.00983016,0.02654972,0.26670119,0.02051771,0.27693617
Family medicine,4154,0.03633361,0.01918968,0.0164343,0.28961405,0.01218814,0.29383666
Finance,858046,0.13664176,0.0,0.13234015,0.0,0.10335226,0.0
Financial economics,75714,0.07601208,0.0,0.06835575,0.0,0.05283559,0.0
Fishery,13102,0.11061179,0.0,0.07570953,0.0,0.0577898,0.0
Food science,18785,0.13840451,0.0,0.11889441,0.0,0.08939797,0.0
Gender studies,167787,0.08401755,0.0,0.06943624,0.0,0.05499944,0.0
