Group,N,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Kendall_r,Kendall_p
All Data,81105257,0.11022482,0.0,0.08812965,0.0,0.06778634,0.0
Art,1106563,0.08499156,0.0,0.07512591,0.0,0.05845664,0.0
Biology,8240399,0.09720423,0.0,0.06794906,0.0,0.05193887,0.0
Business,1721427,0.12627189,0.0,0.12549793,0.0,0.09744366,0.0
Chemistry,7740170,0.0976235,0.0,0.07974991,0.0,0.06114217,0.0
Computer science,9102699,0.11930663,0.0,0.11175135,0.0,0.08648367,0.0
Economics,2670974,0.11958084,0.0,0.11152721,0.0,0.08700383,0.0
Engineering,5735626,0.1162272,0.0,0.10484402,0.0,0.0804078,0.0
Environmental science,1418544,0.14242353,0.0,0.12969126,0.0,0.09945921,0.0
Geography,1710299,0.12476309,0.0,0.11148959,0.0,0.08620707,0.0
Geology,1875846,0.13508459,0.0,0.12179136,0.0,0.09426204,0.0
History,713100,0.07511013,0.0,0.05733966,0.0,0.04498406,0.0
Materials science,5159780,0.10254151,0.0,0.08834568,0.0,0.06799602,0.0
Mathematics,5968273,0.11838485,0.0,0.11400085,0.0,0.08907495,0.0
Medicine,7501956,0.08672755,0.0,0.05581684,0.0,0.04208767,0.0
Philosophy,3129726,0.10663221,0.0,0.09433745,0.0,0.07355424,0.0
Physics,8476490,0.1140686,0.0,0.09992509,0.0,0.07738383,0.0
Political science,2898145,0.1006697,0.0,0.0917377,0.0,0.07201697,0.0
Psychology,3472859,0.11193869,0.0,0.08721386,0.0,0.06717565,0.0
Sociology,2462381,0.09831596,0.0,0.07467898,0.0,0.05821524,0.0
